customer_id,sales_ノートPC,購買回数_ノートPC,sales_周辺機器,購買回数_周辺機器,sales_デスクトップ,購買回数_デスクトップ,sales_タブレット,購買回数_タブレット,group
C-000001,67800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000002,1080400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000003,363600.0,1.0,3690.0,1.0,0.0,0.0,0.0,0.0,3
C-000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
C-000005,154800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000006,0.0,0.0,2831.0,1.0,1518300.0,1.0,0.0,0.0,3
C-000007,1119000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000008,1389300.0,2.0,0.0,0.0,853820.0,2.0,0.0,0.0,0
C-000010,462800.0,1.0,0.0,0.0,0.0,0.0,104790.0,1.0,2
C-000011,532400.0,2.0,22912.0,3.0,379400.0,1.0,14970.0,1.0,3
C-000012,229900.0,1.0,0.0,0.0,178900.0,1.0,0.0,0.0,0
C-000013,0.0,0.0,2460.0,1.0,0.0,0.0,45342.0,1.0,2
C-000014,421700.0,2.0,0.0,0.0,0.0,0.0,45342.0,1.0,2
C-000015,1041200.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000016,439600.0,1.0,0.0,0.0,916500.0,2.0,0.0,0.0,0
C-000017,197480.0,1.0,15222.0,1.0,899200.0,1.0,0.0,0.0,3
C-000018,309800.0,1.0,16300.0,1.0,0.0,0.0,124342.0,1.0,2
C-000019,0.0,0.0,7562.0,1.0,0.0,0.0,0.0,0.0,3
C-000020,0.0,0.0,1230.0,1.0,0.0,0.0,0.0,0.0,3
C-000021,0.0,0.0,0.0,0.0,2731100.0,2.0,0.0,0.0,0
C-000022,0.0,0.0,0.0,0.0,0.0,0.0,272052.0,1.0,2
C-000023,0.0,0.0,0.0,0.0,224800.0,1.0,0.0,0.0,0
C-000024,573400.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C-000025,0.0,1.0,0.0,0.0,0.0,0.0,14970.0,1.0,2
